peso,altura,sexo,edad,tabaco,ubes,carneRoja,verduras,deporte,drogas,dietaEsp,nivEstPad,nivEstudios,nivIngresos
102.37,1.65,M,50,0,0,3,6,9,0,N,2,3,1
56.39,1.77,V,55,40,0,0,0,4,1,N,3,4,1
71.36,1.75,V,23,10,17,0,0,0,0,N,1,3,3
87.04,1.76,V,34,0,0,0,0,0,0,N,2,4,3
84.5,1.67,M,34,0,14,0,0,0,0,N,3,4,4
87.8,1.74,V,29,0,0,0,0,0,4,N,2,3,4
79.34,1.64,M,30,0,0,2,0,0,0,N,4,4,4
83.11,1.69,V,33,0,3,0,0,0,0,N,2,3,3
51.41,1.69,V,64,100,10,5,5,1,0,S,2,4,4
106.25,1.73,V,41,0,3,3,12,5,0,N,0,1,1
103.29,1.78,V,39,0,16,1,0,0,0,N,1,2,4
112.16,1.77,V,46,0,2,2,0,2,0,N,0,1,0
100.98,1.76,V,40,0,0,4,0,0,0,N,1,3,4
48.41,1.64,M,41,180,1,3,0,0,3,N,2,2,2
126.74,1.78,V,57,0,0,12,0,0,2,N,1,2,2
89.84,1.65,M,39,0,0,0,0,10,0,N,3,4,4
85.9,1.67,M,48,0,1,0,0,0,0,N,2,1,3
45.51,1.59,M,66,40,0,6,0,0,0,N,2,3,4
111.11,1.74,V,56,0,17,3,3,1,0,N,0,1,1
100.67,1.76,V,65,0,0,0,2,0,0,N,1,1,1
112.9,1.68,M,64,0,14,6,0,0,0,N,0,2,2
71.94,1.6,M,33,0,0,0,0,0,0,N,2,4,3
93.05,1.77,M,33,0,4,1,0,0,0,N,3,3,2
52.02,1.7,M,33,70,0,7,1,0,0,N,0,0,0
95.96,1.69,M,51,0,0,0,9,5,0,N,1,1,0
86.36,1.75,V,25,0,0,0,0,0,0,N,1,4,4
87.12,1.65,M,38,0,3,0,20,8,0,N,2,1,0
82.96,1.74,V,18,0,5,0,0,0,0,N,4,4,4
95.72,1.76,V,26,0,12,0,17,6,0,N,0,2,1
51.41,1.69,M,34,110,0,0,16,2,0,N,0,0,1
49,1.65,M,28,110,0,0,4,6,0,N,1,1,1
52.02,1.7,V,18,100,5,0,4,0,0,N,1,3,4
47.82,1.63,M,56,100,8,0,7,11,0,N,1,3,2
110.28,1.77,V,61,0,3,0,14,5,0,N,1,3,3
100.17,1.63,M,57,0,9,2,0,3,0,N,1,2,2
102.66,1.73,V,18,0,22,2,0,0,0,N,0,1,0
90.45,1.76,V,40,0,0,0,1,0,0,N,2,4,4
136.9,1.85,V,57,0,0,3,28,20,0,N,0,1,2
60.28,1.83,V,61,30,0,2,9,8,0,S,2,3,3
111.05,1.86,V,53,0,3,2,20,2,0,N,2,3,3
94.54,1.69,V,19,0,13,0,10,9,0,N,0,2,4
116.68,1.75,V,18,0,23,5,0,3,0,N,0,2,2
112.9,1.68,V,54,0,16,3,0,10,0,S,1,1,2
93.14,1.68,V,37,0,0,1,4,3,0,N,2,4,4
79.34,1.56,M,33,0,0,0,9,6,0,N,1,2,2
87.15,1.63,M,42,0,0,3,10,3,0,N,2,4,4
53.87,1.73,V,64,60,0,0,0,0,0,N,2,3,3
77.85,1.63,M,40,0,0,0,0,2,0,N,2,4,3
89.01,1.7,V,38,0,22,0,0,1,0,N,1,3,3
114.24,1.69,M,33,0,13,5,7,13,0,N,1,2,2
49,1.65,M,43,70,0,0,0,15,3,N,1,2,0
112.47,1.77,V,31,0,0,4,0,0,8,N,3,3,1
92.04,1.66,M,31,0,7,5,0,0,0,N,2,4,4
69.15,1.58,M,18,0,7,0,2,2,0,N,2,4,2
82.67,1.62,M,28,0,8,1,2,0,0,N,0,0,0
60.28,1.83,V,18,20,0,3,0,0,1,N,3,4,3
110.74,1.73,V,21,0,0,0,10,15,0,N,1,1,0
107.15,1.77,V,56,0,0,1,3,0,0,N,3,4,3
93.57,1.71,V,25,0,24,0,0,4,0,N,2,4,3
77.05,1.65,M,55,0,1,1,15,0,0,N,1,4,4
110.22,1.66,M,45,0,0,6,18,10,0,N,2,3,3
90.36,1.79,V,44,10,0,4,9,5,0,N,3,4,4
100.82,1.74,V,18,0,15,0,0,7,0,N,2,3,1
104.84,1.81,V,40,0,3,0,0,0,0,S,0,1,0
53.25,1.72,V,48,40,0,0,14,6,0,N,0,1,1
113.06,1.76,M,37,0,0,7,0,0,0,N,1,1,1
92.99,1.63,M,18,0,4,3,0,6,2,N,0,2,3
87.09,1.61,M,23,0,0,1,16,11,0,N,0,1,3
64.49,1.72,M,40,20,0,1,12,9,NA,N,0,0,0
87.66,1.65,M,36,0,10,3,8,1,0,N,1,2,2
86.08,1.68,V,41,0,0,0,0,0,0,N,0,3,2
114.24,1.69,M,72,0,10,5,9,7,0,N,1,1,0
85.29,1.55,M,59,0,0,2,0,0,0,N,1,2,2
99.07,1.68,V,45,0,0,1,7,10,0,N,2,4,2
53.25,1.72,M,32,30,3,0,4,0,0,N,1,1,0
55.12,1.75,V,40,100,17,0,8,1,0,N,1,2,1
81.41,1.6,M,63,0,1,0,16,7,0,N,2,3,4
94.52,1.79,V,37,0,8,0,4,1,1,N,1,3,4
94.67,1.64,M,42,0,0,5,10,0,0,N,0,1,1
87.75,1.57,M,51,0,5,2,6,2,0,N,0,1,1
108.42,1.76,V,36,0,0,3,2,8,0,N,3,3,4
94.76,1.74,V,18,0,0,0,0,0,0,N,0,0,0
94.96,1.72,M,38,0,1,0,29,14,0,N,4,4,4
103.55,1.73,V,43,0,7,0,12,8,0,N,3,4,2
111.41,1.71,V,36,0,6,5,0,0,0,N,1,1,1
46.08,1.6,M,60,80,0,4,13,8,0,N,1,0,0
57.67,1.79,V,27,40,0,0,6,2,0,N,2,4,3
88.82,1.69,M,18,0,0,0,10,3,7,N,1,2,2
98.26,1.7,M,37,0,0,0,14,10,1,N,2,3,4
112.95,1.87,V,41,0,0,2,0,2,0,N,1,3,2
75.67,1.57,M,32,0,0,0,8,3,0,N,2,3,2
101.15,1.7,M,32,0,0,4,1,2,0,N,0,1,0
108.9,1.65,M,57,0,0,7,0,10,0,N,2,3,3
86.12,1.7,M,31,0,0,0,0,0,0,N,0,2,1
109.54,1.73,V,52,0,15,4,2,2,0,N,3,4,4
47.82,1.63,M,30,90,12,0,18,12,0,N,3,3,2
76.73,1.61,M,25,0,0,2,3,0,0,N,1,2,1
110.05,1.72,V,70,0,2,2,0,5,0,N,2,3,4
120.85,1.8,V,25,0,0,2,0,10,0,N,1,3,3
125.82,1.88,V,49,0,23,2,8,1,0,N,0,2,0
104.42,1.63,M,38,0,0,5,12,9,0,N,2,3,3
81.84,1.66,M,43,0,0,1,9,0,0,N,0,2,1
82.98,1.68,M,54,10,0,2,1,0,0,N,1,2,1
52.02,1.7,M,43,150,0,0,2,3,0,N,4,4,4
116.28,1.78,V,55,0,0,3,15,7,0,N,2,2,2
47.24,1.62,M,36,50,8,0,22,12,0,N,1,2,2
115.6,1.77,V,54,0,0,3,17,8,5,N,0,2,2
102.36,1.73,V,58,0,5,0,10,6,0,N,2,2,1
117.17,1.77,V,41,0,4,8,0,1,0,N,1,3,4
57.67,1.79,M,37,220,0,3,0,0,0,S,0,2,2
60.28,1.83,V,33,80,0,1,3,5,0,N,2,3,1
109.9,1.74,V,77,0,5,1,0,0,0,N,0,1,2
46.66,1.61,M,33,60,0,7,5,5,0,N,0,1,0
99.53,1.75,V,46,0,8,0,1,0,0,N,0,0,1
93.79,1.63,M,50,0,0,3,0,3,0,N,1,2,1
98.26,1.7,V,62,0,0,0,0,2,0,N,1,2,1
79.09,1.66,M,28,0,0,0,0,0,0,N,1,2,3
45.51,1.59,M,33,200,0,0,10,10,8,N,1,2,4
53.25,1.72,V,18,130,24,0,11,3,0,N,3,4,4
54.5,1.74,V,50,130,9,3,0,5,0,N,2,2,4
62.13,1.64,M,18,10,8,2,0,0,0,N,3,4,3
99.66,1.73,V,40,0,11,1,0,0,0,N,1,2,2
105.26,1.87,V,45,0,3,0,0,1,0,S,2,2,2
91.32,1.7,V,41,0,9,0,1,1,0,N,0,1,0
85.5,1.6,M,18,0,14,3,0,0,0,N,3,3,3
68.06,1.54,M,43,0,4,0,14,4,0,N,2,4,4
47.82,1.63,M,50,80,0,1,26,13,0,N,3,2,2
58.32,1.8,V,67,40,1,2,17,8,0,N,1,1,1
113.1,1.77,V,35,0,10,0,8,7,0,N,1,2,0
97.66,1.68,M,18,0,0,4,13,8,0,N,2,4,4
105.82,1.78,V,23,0,0,0,10,9,0,N,2,2,2
93.11,1.69,V,35,0,6,3,21,7,0,N,1,3,4
102.36,1.72,M,29,0,0,2,28,17,0,N,1,2,3
95.48,1.64,V,49,0,0,0,18,10,0,N,1,0,0
102.02,1.78,V,27,0,0,0,5,4,3,N,0,1,1
84.67,1.68,V,32,0,4,0,17,3,0,N,0,1,1
52.63,1.71,V,63,140,0,0,2,3,1,N,1,2,3
73.57,1.59,M,41,0,9,0,21,0,1,N,1,2,4
58.32,1.8,V,32,20,0,1,4,2,0,N,2,4,4
47.24,1.62,M,88,100,0,1,24,14,0,N,3,4,4
59.62,1.82,V,23,70,0,0,3,0,0,N,2,4,4
118.91,1.8,V,43,0,0,6,3,0,0,N,1,2,2
112.42,1.7,M,31,0,7,6,0,5,0,N,1,2,2
103.86,1.68,M,42,0,6,4,0,1,0,N,2,1,1
84.95,1.68,M,39,0,0,0,5,0,0,N,1,2,4
81.88,1.62,M,38,0,0,2,7,1,0,N,2,2,4
92.77,1.7,V,28,0,1,4,18,5,0,N,1,2,2
95.36,1.58,M,63,0,13,4,0,0,1,N,1,1,2
98.7,1.74,V,48,0,4,1,11,5,0,N,1,2,3
57.03,1.78,V,24,260,0,5,10,0,0,N,1,2,1
112.62,1.82,V,53,0,0,2,0,0,0,N,0,1,1
83.46,1.6,M,53,0,0,1,0,0,0,N,1,3,4
51.41,1.69,V,32,130,0,5,13,13,0,N,0,2,2
50.2,1.67,M,45,160,8,0,19,16,0,N,2,2,3
99.13,1.71,V,48,0,6,2,4,1,0,N,2,4,4
92.57,1.68,M,31,0,0,3,0,4,1,N,3,4,4
80.5,1.63,M,38,10,0,4,0,0,3,N,0,0,0
51.41,1.69,V,32,130,8,1,8,5,0,N,1,1,2
111.56,1.67,M,61,0,15,2,9,16,0,N,2,3,3
58.32,1.8,V,36,50,5,7,16,11,1,N,0,2,2
119.51,1.79,V,57,0,11,1,2,5,0,N,0,0,0
106.69,1.68,M,57,0,1,2,18,10,0,S,0,0,0
57.03,1.78,M,38,200,0,0,0,0,7,N,0,2,1
50.8,1.68,V,35,90,2,1,0,3,0,S,2,4,4
91.65,1.6,M,65,0,0,0,28,14,0,S,0,1,2
52.02,1.7,M,18,160,11,1,9,4,0,N,1,2,2
118.52,1.73,M,21,0,0,6,0,8,0,N,0,0,0
99.06,1.73,M,53,0,0,3,0,0,0,N,2,4,4
47.82,1.63,M,18,120,6,0,0,0,0,S,2,4,4
132.5,1.82,V,46,0,4,5,0,4,3,N,1,0,0
85.09,1.71,V,18,0,0,0,22,6,0,N,0,3,1
106.21,1.77,V,18,0,11,5,0,2,0,N,1,2,2
92.54,1.69,M,36,0,0,0,1,3,0,N,0,0,1
87.28,1.75,M,49,0,0,0,6,1,0,N,2,4,4
105.56,1.68,M,84,0,0,2,0,0,0,N,1,3,2
52.63,1.71,M,18,140,24,4,7,3,0,N,0,1,3
108.62,1.79,V,40,0,5,4,0,0,0,N,2,3,4
103.68,1.61,M,38,0,21,1,12,14,0,S,2,2,1
86.88,1.63,M,20,0,12,0,6,8,0,N,1,1,0
115.6,1.7,V,58,0,0,4,0,10,0,N,1,3,2
55.12,1.75,V,20,210,0,1,10,1,0,N,1,1,2
47.24,1.62,M,41,20,0,1,0,0,0,N,2,2,1
99.84,1.67,M,55,0,0,4,9,3,0,N,1,2,3
74.27,1.71,M,49,20,15,1,16,13,0,N,1,1,1
122.5,1.75,V,71,0,3,5,16,6,0,N,2,1,0
102.93,1.71,M,54,0,0,3,4,1,0,N,1,1,1
101.13,1.64,M,38,0,0,2,15,10,0,N,2,1,1
96.5,1.67,V,28,0,14,0,6,3,0,N,0,0,0
84.4,1.65,M,35,0,0,2,14,4,0,N,1,2,2
47.82,1.63,M,44,90,0,1,0,0,0,N,2,4,4
106.57,1.75,M,29,0,5,1,15,13,0,N,2,4,4
89.8,1.67,M,35,0,0,2,0,0,3,N,0,2,2
68.58,1.64,M,27,10,18,0,1,0,0,N,1,2,2
49.6,1.66,V,42,80,0,0,0,3,1,N,2,2,3
109.17,1.83,V,52,0,0,0,5,7,0,S,3,4,4
93.42,1.57,M,41,0,5,2,7,12,0,S,2,4,4
47.82,1.63,M,19,180,0,0,0,2,0,N,1,3,3
96.64,1.78,V,18,0,9,2,4,3,0,N,2,3,4
122.89,1.82,V,38,0,0,4,0,4,0,N,0,0,0
88.22,1.64,M,41,0,0,2,0,0,0,N,0,2,2
52.02,1.7,V,29,70,0,0,9,6,0,N,1,4,4
97.27,1.73,V,35,0,0,2,11,4,0,N,1,2,2
96.25,1.69,V,31,0,11,3,0,1,0,S,1,3,4
56.39,1.77,V,62,80,0,3,0,4,0,N,2,4,4
100.86,1.6,M,46,0,8,3,0,9,0,N,1,1,0
114.33,1.71,V,18,0,11,1,10,17,0,S,3,3,3
75.72,1.7,M,26,10,0,4,0,0,0,N,0,2,1
105.98,1.67,M,40,0,9,3,0,8,0,N,0,2,2
97.27,1.66,M,65,0,0,5,4,0,0,N,2,2,2
89.11,1.69,M,47,0,2,0,5,0,7,N,0,1,1
84.5,1.61,M,32,0,6,0,0,7,0,N,3,3,4
110.59,1.77,V,20,0,0,2,2,7,7,N,3,3,3
57.67,1.79,V,33,150,12,3,0,0,1,N,1,2,2
101.76,1.71,V,40,0,11,2,0,0,0,N,1,2,1
90.38,1.66,M,50,0,10,0,3,0,0,N,2,2,0
75.52,1.6,M,30,0,0,0,0,0,0,N,1,4,4
97.11,1.58,M,44,0,16,1,2,13,0,N,4,4,4
85.7,1.66,M,39,0,0,0,5,1,0,N,3,4,4
92.59,1.66,M,26,0,0,0,23,17,0,N,0,2,3
56.39,1.77,V,58,100,10,0,0,0,0,N,3,3,4
109.51,1.83,V,21,0,0,3,0,4,4,N,4,4,4
97.63,1.81,V,18,0,0,4,9,0,0,N,2,3,2
75.43,1.7,V,18,10,0,3,13,7,0,N,1,4,4
98.69,1.79,V,50,0,0,0,0,0,0,N,2,3,3
109.31,1.78,V,63,0,0,2,0,0,0,N,1,3,4
92.86,1.66,M,60,0,3,4,17,3,0,N,2,4,4
109.67,1.69,V,61,0,0,5,0,0,0,N,1,1,1
101.52,1.67,V,24,0,5,0,0,8,0,N,1,1,0
46.08,1.6,M,34,50,0,1,0,4,0,N,2,4,4
97.33,1.72,M,52,10,0,0,7,14,0,N,1,3,2
57.67,1.79,V,38,30,0,0,22,10,3,N,1,2,4
53.25,1.72,M,37,70,2,0,3,8,0,N,1,2,1
116.99,1.75,V,37,0,1,2,7,11,3,S,0,0,0
99.99,1.7,M,30,0,0,0,26,20,0,N,2,4,4
44.94,1.58,M,67,100,7,6,0,0,0,N,1,3,4
49,1.65,M,39,150,0,1,13,13,0,N,0,0,0
112.87,1.71,M,67,0,4,2,0,5,0,N,0,1,1
82.1,1.63,M,50,0,0,0,0,0,0,N,2,3,1
57.03,1.78,V,34,80,0,0,5,13,0,N,1,2,2
101.79,1.67,M,33,0,0,2,7,8,0,N,2,1,1
97.39,1.75,V,36,0,0,0,0,7,0,N,3,4,4
47.24,1.62,M,37,60,0,2,3,0,0,N,2,3,3
91.66,1.63,M,49,0,0,0,0,3,0,N,1,1,2
99.91,1.68,M,42,0,0,3,0,0,0,N,3,4,3
115.31,1.7,V,35,0,8,6,13,11,0,N,3,3,2
70.33,1.83,V,31,20,23,4,5,0,0,N,1,1,1
100.86,1.64,M,60,0,3,2,16,10,0,N,1,4,4
59.62,1.82,V,37,30,14,1,0,2,0,N,3,3,4
102.13,1.61,M,45,0,3,4,13,12,0,N,1,3,2
52.02,1.7,M,45,30,0,0,12,5,0,N,1,3,2
82.36,1.63,M,60,0,0,0,0,0,0,N,1,0,2
95.02,1.65,M,45,0,0,0,16,11,0,N,0,2,3
89.34,1.72,V,25,0,0,1,0,0,0,N,4,4,3
88.41,1.74,V,43,0,9,0,12,0,0,N,1,1,3
88.69,1.67,V,33,0,0,0,0,2,0,N,2,4,4
103.49,1.79,V,19,0,0,3,0,4,0,N,2,3,4
76.03,1.71,V,46,10,0,0,17,9,0,N,0,1,3
84.78,1.67,M,34,0,2,0,17,3,2,N,2,2,1
83.72,1.72,V,18,0,6,0,0,1,0,N,1,3,3
108.34,1.73,V,28,0,1,2,0,10,0,N,0,1,3
105.04,1.75,V,36,0,7,4,11,5,0,N,2,4,3
113.43,1.78,V,51,0,12,2,0,0,0,N,2,3,3
83.95,1.67,M,36,0,0,0,1,1,0,N,1,2,2
48.41,1.64,M,54,110,0,5,0,0,6,N,0,1,1
96.78,1.83,V,39,0,0,0,11,0,0,N,3,2,1
53.25,1.72,V,62,100,0,7,0,3,0,N,1,2,3
104.64,1.77,V,26,0,13,0,7,8,0,N,0,3,2
49,1.65,M,55,40,1,0,17,7,3,N,2,1,1
50.2,1.67,V,28,140,0,3,0,0,0,N,1,1,1
96.71,1.63,M,63,0,0,3,6,0,7,N,1,2,3
81.36,1.62,M,36,0,0,0,20,13,0,N,3,4,4
94.22,1.62,M,50,0,7,6,0,0,0,N,1,1,2
49,1.65,V,41,90,0,2,2,0,0,N,3,4,4
99.86,1.59,M,42,0,15,5,12,6,1,N,0,0,1
49,1.65,M,41,20,0,0,1,0,2,N,1,0,0
98.82,1.69,M,37,0,0,1,5,4,2,N,1,2,1
88.32,1.6,M,48,0,0,4,0,0,0,N,2,4,3
95.96,1.68,M,18,0,0,0,20,16,0,N,1,3,4
110.58,1.78,V,30,0,0,3,11,12,0,N,0,2,3
69.55,1.62,M,29,10,10,3,0,0,2,N,1,2,2
51.41,1.69,M,67,50,0,1,0,0,0,N,1,1,2
87.63,1.66,M,23,0,0,1,0,0,0,N,1,2,3
100.45,1.75,M,55,0,0,0,3,2,0,N,1,1,1
49,1.65,M,33,210,1,0,13,4,2,S,2,2,3
98.06,1.77,V,38,0,10,0,0,2,0,N,2,3,4
93.86,1.71,V,58,10,11,7,0,0,2,N,2,4,3
79.36,1.53,M,43,0,0,1,0,0,9,N,0,1,1
101.13,1.64,M,43,0,0,4,0,4,0,N,2,3,4
85.38,1.71,V,30,0,0,0,0,0,0,N,3,3,3
53.25,1.72,V,31,30,7,2,2,5,0,N,1,1,2
125.32,1.77,V,51,0,26,8,0,2,0,N,1,2,1
53.25,1.72,V,72,60,2,0,5,9,0,N,3,3,3
99.17,1.78,V,32,0,0,0,15,9,0,N,1,3,3
83.92,1.64,M,18,0,0,0,8,6,0,N,1,2,2
74.5,1.64,M,26,0,6,0,0,0,0,N,2,3,4
84.74,1.6,M,65,0,0,0,5,0,3,N,1,2,2
84.05,1.66,M,52,0,6,0,8,0,2,N,3,4,4
55.76,1.76,V,53,40,2,0,18,11,0,N,2,3,3
44.94,1.58,M,28,90,4,4,12,6,1,N,0,2,2
101.18,1.72,M,18,0,11,0,7,9,0,N,1,1,0
88.76,1.64,M,48,0,0,1,11,3,0,N,0,1,2
110.22,1.66,M,58,0,0,4,16,16,2,N,1,2,1
95.62,1.66,M,35,0,5,2,16,9,0,N,0,2,3
99.1,1.63,M,32,0,3,0,5,11,0,N,0,0,0
106.14,1.78,V,40,0,1,3,5,1,0,N,2,4,4
102.03,1.74,V,51,0,2,0,13,8,0,N,2,4,3
109.1,1.69,V,22,0,0,5,0,11,0,N,2,4,2
88.6,1.71,V,73,10,3,3,0,0,2,N,1,2,3
107.19,1.75,V,49,0,0,0,16,8,1,N,0,0,1
95.37,1.7,V,40,0,1,0,0,4,0,N,0,1,3
114.24,1.69,M,41,0,1,4,9,15,3,N,0,1,4
56.39,1.77,V,37,110,5,0,13,4,0,N,4,4,4
118.38,1.74,M,24,0,5,2,19,18,0,N,0,0,0
47.24,1.62,M,32,60,3,5,13,14,7,N,0,2,2
121.98,1.78,V,45,0,1,0,20,17,1,S,1,3,3
94.5,1.7,V,46,0,0,2,0,0,2,N,2,3,3
93.44,1.6,M,41,0,5,4,0,0,0,N,1,2,2
59.62,1.82,V,35,50,0,1,4,0,0,N,0,3,4
94.25,1.69,M,38,0,0,0,18,9,0,N,2,4,4
95.06,1.59,M,71,0,14,0,22,15,0,N,2,4,4
55.94,1.64,M,22,20,11,0,31,13,0,N,3,3,1
79.28,1.55,M,18,0,12,3,1,0,1,N,1,1,1
114.24,1.69,M,24,0,0,2,12,18,3,N,0,2,1
105.48,1.7,M,38,0,3,4,17,9,0,N,1,2,2
